x,y,cluster
-5.014709,-5.590498,17.000000
-3.557381,-5.299034,54.000000
-5.923808,-6.710760,10.000000
-4.289705,-5.370675,69.000000
-3.777755,-6.113032,1.000000
-4.358961,-5.588009,88.000000
-4.500284,-5.620967,60.000000
-4.241599,-5.810765,13.000000
-4.188519,-5.393475,96.000000
-3.434401,-5.224813,25.000000
-4.804899,-6.482095,30.000000
-3.734333,-5.449184,74.000000
-5.979603,-6.812868,45.000000
-4.379507,-5.859490,73.000000
-3.929868,-5.376507,69.000000
-3.504608,-5.252751,54.000000
-4.131710,-5.839505,6.000000
-4.377712,-5.895647,13.000000
-4.036398,-6.148079,49.000000
-5.015991,-6.537268,28.000000
-4.268433,-5.930564,41.000000
-4.725204,-5.487016,70.000000
-4.870415,-6.678819,19.000000
-4.662469,-5.988809,50.000000
-4.254355,-6.027997,41.000000
-4.924977,-6.616854,19.000000
-5.148006,-6.775708,26.000000
-5.039664,-6.541713,91.000000
-3.880146,-5.957157,49.000000
-5.309888,-7.084397,34.000000
-4.550968,-5.276336,3.000000
-5.867389,-6.760238,45.000000
-4.429239,-5.573843,48.000000
-4.172394,-6.180958,49.000000
-4.264421,-5.811757,13.000000
-3.766116,-5.991391,1.000000
-4.163209,-5.414449,96.000000
-4.384044,-5.875984,13.000000
-3.823460,-6.036650,44.000000
-5.683392,-6.794961,27.000000
-4.690506,-5.771763,22.000000
-5.631052,-6.108862,32.000000
-3.944414,-6.128445,53.000000
-3.785971,-6.136139,53.000000
-3.855888,-6.110654,82.000000
-3.801558,-5.985109,53.000000
-3.938938,-6.218172,82.000000
-3.746229,-6.166142,1.000000
-3.897784,-6.141783,82.000000
-3.871139,-6.113098,82.000000
-3.945748,-6.093686,53.000000
-3.899142,-6.130975,82.000000
-3.915546,-6.251529,82.000000
-3.822845,-6.030445,1.000000
-3.840198,-6.073142,1.000000
-3.873616,-6.023848,44.000000
-3.648479,-6.005854,44.000000
-3.710618,-6.013383,1.000000
-3.894021,-6.135477,82.000000
-5.768973,-6.832307,23.000000
-4.109229,-5.611459,33.000000
-5.054515,-6.545357,91.000000
-4.052360,-5.969039,51.000000
-5.241923,-7.010751,47.000000
-4.133571,-5.943760,43.000000
-3.925649,-5.561004,89.000000
-3.612069,-6.115005,44.000000
-5.795009,-6.801814,45.000000
-4.839161,-5.723879,62.000000
-4.715964,-6.511383,29.000000
-4.997670,-5.454142,83.000000
-3.778980,-6.047844,44.000000
-4.548220,-5.215796,3.000000
-4.734290,-5.782186,22.000000
-5.649507,-6.778077,98.000000
-4.951343,-6.365830,28.000000
-5.380741,-5.757773,8.000000
-3.692874,-6.036773,44.000000
-4.140912,-5.974484,43.000000
-4.903957,-5.425046,83.000000
-5.922370,-6.777606,45.000000
-4.589441,-5.272001,3.000000
-3.756445,-5.297856,54.000000
-3.645268,-5.995442,44.000000
-5.162372,-6.236476,20.000000
-3.696946,-6.145304,44.000000
-4.115353,-5.684798,31.000000
-5.944919,-6.875522,72.000000
-4.347415,-5.370282,69.000000
-4.364590,-5.843994,13.000000
-3.727924,-5.982897,84.000000
-4.738860,-6.198332,4.000000
-4.812469,-6.703245,64.000000
-4.312807,-5.673596,14.000000
-4.371580,-5.828227,13.000000
-4.239875,-6.002977,41.000000
-5.015262,-6.538826,66.000000
-4.700298,-6.508424,29.000000
-5.853756,-6.886828,23.000000
-5.661919,-6.921107,95.000000
-4.148972,-5.955561,43.000000
-5.425385,-6.202896,32.000000
-4.269017,-5.770517,41.000000
-4.679648,-5.298582,70.000000
-3.428134,-5.151935,25.000000
-4.171949,-5.812219,6.000000
-4.252048,-5.812348,39.000000
-4.938645,-6.550174,28.000000
-4.904483,-6.212231,85.000000
-3.871225,-6.310654,82.000000
-5.905488,-6.872506,72.000000
-5.787620,-6.599824,23.000000
-5.189031,-6.641641,26.000000
-3.770730,-6.114268,44.000000
-5.751479,-6.943575,23.000000
-5.335590,-7.001537,47.000000
-3.878269,-6.069818,44.000000
-4.924452,-5.418531,83.000000
-4.392118,-5.766278,36.000000
-5.676157,-6.755119,27.000000
-4.385806,-5.829179,68.000000
-4.512087,-5.622147,48.000000
-4.828556,-5.554262,70.000000
-4.736838,-5.850197,22.000000
-3.694642,-5.380466,74.000000
-5.303622,-5.830630,8.000000
-5.490601,-7.141794,57.000000
-5.638560,-7.009854,92.000000
-3.955406,-6.054394,82.000000
-4.933485,-6.410268,66.000000
-4.724514,-6.518670,29.000000
-4.087197,-5.971595,51.000000
-4.490801,-5.649258,48.000000
-3.669470,-5.863759,52.000000
-4.199580,-5.873500,41.000000
-4.204623,-5.599709,88.000000
-5.019509,-6.264771,37.000000
-5.470706,-7.175679,57.000000
-2.735102,-5.125185,18.000000
-3.699592,-6.090672,44.000000
-3.807737,-6.176918,82.000000
-5.504651,-7.181413,57.000000
-5.331303,-6.866447,9.000000
-3.723388,-6.042953,44.000000
-3.954793,-6.076712,44.000000
-5.856050,-6.706242,72.000000
-3.742698,-6.117073,44.000000
-4.764217,-6.021535,50.000000
-5.749869,-5.935504,40.000000
-4.351444,-5.860316,73.000000
-4.169600,-5.551795,75.000000
-5.400740,-6.413806,35.000000
-5.003983,-5.578825,83.000000
-4.926774,-6.601570,30.000000
-5.914204,-6.663276,45.000000
-4.545769,-5.498910,60.000000
-4.796493,-6.538059,30.000000
-3.228120,-5.149271,25.000000
-4.755490,-5.304456,67.000000
-3.967838,-5.575208,89.000000
-5.611187,-6.463106,35.000000
-4.551946,-5.582482,48.000000
-5.504797,-7.182006,57.000000
-4.786992,-6.618832,19.000000
-3.688750,-6.065441,87.000000
-4.331394,-5.361197,69.000000
-5.946138,-6.811002,45.000000
-5.606617,-5.869347,40.000000
-4.339664,-5.870524,13.000000
