matched_query,Unnamed: 0,hash,failure_invariant
block.timestamp > deadline,13563,0x84cdf77b670a90a575635c7e879087b4cd41aa349c2218eb30d24c336e2df471,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,13733,0xd4d109fe336adc6eb20899de1265e14b745667a52721693177c846715c374026,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,14007,0x36c47b192b44c55110aa84e5ef6a729dbf99c883e577532cf911f359355c8ff2,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,14013,0xeb5046edc2687c8d51b8169a88eb09081f63442312c2d42ffc88c77d6b334d04,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,14185,0xe352327779fefb795245b4f07de32d00c60eaaed6abf05e7412f5ba2b71aeb7f,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,14554,0xa815ef13717684f8bda9b9c7ebd333791004e6eb69ef0d7319cb3687f7410f83,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,14564,0xda4778dba3734eb0397a58a39b06da859d70b5ac252b7e44cbde78cf7b9b70d1,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,14780,0x5cae81db66726b03a79eb928a7ef04f80587841e7efdd21d2ab8399bafe12dc4,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,15157,0xe0af19786062b13d648d3d785e8d98919c38a3fca5e2c5cdd7cd283c2b54ded1,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,15166,0x5dc4a9cb44c66db917a8b13b032336c9275ca4ef6df7d1a333c0018c8c88d918,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,15229,0x9e9f079cdaf1f994dfe0dd5edcec5da039b2e455c153f3006953269c302039c0,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,15432,0x1f8c391ad7b7013442c9cf2100f8b669fa4b8d22882a06aa1354394ec7fccbdc,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,15483,0x1453ed7c96c2e07aff808c159f77d7b8d19b440dc648781d3695f913175346ee,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,15535,0x359f7e5711734889a82220af889d912a6e29c3a91739b73520bba4e18d5f42df,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,15998,0x6afdb670480ad457c6d581f073db1743fd21d186e9bf999c5ee6835be83b29c1,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,16111,0xc4fb99678d800ee19ab03d27fe355a7d584c60efaa53750c67626382100cf66c,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,16287,0x6d933d96602a255e450e9a2f90bc931993c088298566d177558da9555db3344e,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,16354,0x4ffaff49e6c1a620269d7c03fae488339f0c3365a90bb77d58849b307df881fb,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,16549,0xfdcd272f41f3d1e2d28b64cd488549006fd635fc6772f00cfd273d810bb18c1b,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,16645,0x53b7ca5863d231eb134b5955873e64bc75d1745f3a36c93e538fc46854428497,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,16773,0x50e46cf903b42db5b499e531bbf5f4241eb1c60a785476df217130596083c401,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,16847,0x37a933d2ef2afc2b3f3a9fc6720c99738ebf26da6e8138e7a24b90551ae2a839,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,17079,0x901e6dabfe56a6f3e18bf39a50fd6b54f3557168d19e2d7d2d682fda723b4006,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,17200,0x77ed20120fcfb090c386cbb8c1f06941d4dd3e1270ef7fd7807689b2147b7f47,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
