cluster,patch,invariant
43,317,msg.value > usdctoeth(pair.buytotalfee())
77,318,msg.sender == user || (!revoked && registry.contracts(msg.sender))
57,319,user.unstakescheduledfor != 0
57,320,!_spenttransferids[transferid]
57,321,owner != address(0)
57,322,address(this) != __self
57,323,perbuycount[block.number] < 51
44,324,proposal.status == proposalstatus.confirmed
42,325,success || safetxgas != 0 || gasprice != 0
36,326,committedbatches[_batchindex + 1] == bytes32(0)
60,327,launch != 0 && amount <= maxtxamount
57,328,"sub(l[from], 0) == 0"
57,329,amountin <= params.amountinmaximum
57,330,!stopped
27,331,_nonce == _report.timestamps.length || _nonce == 0
57,332,amounttorelease > 0
57,333,cardamount1[_batch]>=_cardnum1
57,334,tokenamountin <= maxamountin
57,335,balanceof(from) >= amountin
57,336,currentallowance >= amount
57,337,_sharesamount <= shares[_sender]
57,338,msg.sender.iscontract()
83,339,int256(uint256(params.prevboughtgas)) <= int256(uint256(config.maxresourcelimit))
50,340,pendingwithdrawals[withdrawalroot]
57,341,amountout > 0
57,342,amount <= _allowedburnamount
57,343,tradingallowed
57,344,proxies[msg.sender] == address(0)
57,345,accountinfo.balance >= _amount
3,346,"imemberroles(internalcontracts[uint(id.mr)]).checkrole( msg.sender, uint(imemberroles.role.member) )"
55,347,command.isexecutionlegal(triggerdata)
57,348,_balances[sender] >= amount
24,349,_isexcludedfromfees[from] || _isexcludedfromfees[to]
57,350,!paused
29,351,block.timestamp >= lastbuy[sender] + transfertimeout
57,352,!isdelegated(staker)
57,353,ethpayamount >= relethamount
60,354,amount + balanceof(recipient) <= maxwalletamount
57,355,usednonces[_sourceandnonce] == 0
57,356,block.timestamp <= _quote.expirytimestamp
57,357,offset > 60
54,358,uniswappair != address(0) || excluded
57,359,processedexits[exithash] == false
60,360,amount + balanceof(to) <= maxwallet
35,361,commitments[commitment] + maxcommitmentage > now
57,362,_user.claimableamount > 0
57,363,_tradingopen(msg.sender)
57,364,ramount <= _rtotal
57,365,!approvals[hash].complete
57,366,stakeobj.active
57,367,msg.value >= _fee + _value
57,368,amounts[0] <= amountinmax
57,369,value <= _balances[from]
54,370,univ2pairaddr != address(0) || excluded
56,371,path[path.length - 1] == weth
57,372,vars.success
57,373,!relayedmessages(msgid)
53,374,"_isapprovedorowner(_msgsender(), tokenid)"
57,375,msg.value >= _needpayprice
15,376,"token.allowance(msg.sender, address(this)) >= value"
50,377,finalizedwithdrawals[withdrawalhash] == false
57,378,pretrader[from]
57,379,_buycount < 40
73,380,"merkleproofupgradeable.verify(_proof, claimmerkleroot, leaf)"
54,381,univ2pairaddress != address(0) || excluded
57,382,expires > block.timestamp
